Gene_A,Gene_B
MAFF,NFE2L3
MAFG,NFE2L3
NFE2,NFE2L3
CREB1,NFIA
FOXC2,NFIA
JUN,NFIA
ESR1,NFIB
NFIA,NFIB
CREB1,NFIC
DACH1,NFIC
FOXA1,NFIC
FOXC1,NFIC
FOXE1,NFIC
GLIS1,NFIC
GLIS2,NFIC
MYC,NFIC
NFIB,NFIC
CREB1,NFIL3
DDIT3,NFIL3
CREB1,NFIX
FOS,NFIX
FOXA1,NFIX
FOXC1,NFIX
FOXN1,NFIX
JUN,NFIX
NFIB,NFIX
ELF3,NFKB1
ESR1,NFKB1
HMGA2,NFKB1
HOXC8,NFKB1
KLF5,NFKB1
MXD3,NFKB1
NCOA1,NFKB1
ESR2,NFKB2
ETS1,NFKB2
GTF2I,NFKB2
NFKB1,NFKB2
ESR1,NFX1
CREB1,NFYA
JUN,NFYA
CEBPZ,NFYB
DRAP1,NFYB
MEOX2,NFYB
NFYA,NFYB
ADNP2,NFYC
ARID2,NFYC
ATF6,NFYC
CIC,NFYC
CRX,NFYC
DR1,NFYC
FOXJ2,NFYC
FOXK2,NFYC
HIVEP1,NFYC
HSFY1,NFYC
HSFY2,NFYC
KLF11,NFYC
KLF15,NFYC
LIN54,NFYC
MYC,NFYC
NFYA,NFYC
NFYB,NFYC
HIVEP1,NHLH1
MYF5,NHLH2
ESR1,NKRF
ESR2,NKRF
FOXL2,NKRF
FOXQ1,NKRF
JUN,NKRF
FOXA1,NKX2-1
NCOA1,NKX2-1
NCOA3,NKX2-1
FOXA1,NKX2-5
FOXE1,NKX2-5
GATA4,NKX2-5
JUN,NKX2-5
ARHGAP35,NME2
ESR1,NME2
HSF1,NME2
HSF2,NME2
FOXD2,NOTO
FOXH1,NOTO
MEIS2,NOTO
NKX2-4,NOTO
ARNT2,NPAS2
ARNTL,NPAS2
ARNTL2,NPAS2
CRX,NPAS2
HESX1,NPAS2
CLOCK,NR1D2
HOXA1,NR1D2
MEOX2,NR1D2
NR1D1,NR1D2
FOXO3,NR1H2
NCOA1,NR1H2
NCOA2,NR1H2
NCOA3,NR1H2
FOXO3,NR1H3
NCOA1,NR1H3
NCOA2,NR1H3
NCOA3,NR1H3
ESR1,NR1H4
NCOA1,NR1H4
NCOA2,NR1H4
HNF4A,NR1I2
NCOA1,NR1I2
NFATC4,NR1I2
ESR1,NR1I3
FOS,NR1I3
NCOA1,NR1I3
NCOA2,NR1I3
AR,NR2C1
AR,NR2C2
DNMT1,NR2C2
FOXL1,NR2C2
HNF4A,NR2C2
JAZF1,NR2C2
KLF11,NR2C2
NR2C1,NR2C2
BCL11A,NR2E1
AHR,NR2F1
BCL11A,NR2F1
BCL11B,NR2F1
ESR1,NR2F1
FOS,NR2F1
FOXA3,NR2F1
FOXC2,NR2F1
FOXG1,NR2F1
FOXL1,NR2F1
FOXS1,NR2F1
GTF2B,NR2F1
BCL11A,NR2F2
FOS,NR2F6
FOXN1,NR2F6
JUN,NR2F6
NR2F2,NR2F6
CENPB,NR3C1
CREB1,NR3C1
FOXJ2,NR3C1
FOXL1,NR3C1
MAFF,NR3C1
MSX2,NR3C1
NCOA1,NR3C1
NCOA2,NR3C1
NCOA3,NR3C1
NFKB1,NR3C1
NR2F2,NR3C1
NCOA1,NR3C2
NR3C1,NR3C2
HES1,NR4A1
NCOA1,NR4A1
NFKB1,NR4A1
NR3C1,NR4A1
CXXC1,NR5A1
JUN,NR5A1
NCOA2,NR5A1
CENPT,NR5A2
CREB1,NR5A2
NCOA1,NR5A2
NCOA2,NR5A2
NCOA3,NR5A2
FOXJ2,NRF1
FOXK2,NRF1
FOXP3,NRF1
HIVEP1,NRF1
KLF15,NRF1
L3MBTL3,NRF1
LHX3,NRF1
LHX4,NRF1
LHX6,NRF1
CRX,NRL
ARID5A,OLIG3
HMG20A,OLIG3
EOMES,OTP
ARID5A,OTX1
HIVEP1,OTX1
KLF3,OTX2
MAFF,OVOL1
AR,PA2G4
E2F1,PA2G4
ESR1,PA2G4
FOXB1,PA2G4
FOXH1,PA2G4
FOXI2,PA2G4
FOXL1,PA2G4
HMGA1,PA2G4
HMGA2,PA2G4
HNF4A,PA2G4
JUN,PA2G4
AKAP8L,PATZ1
