Gene_A,Gene_B
ABL1,SCARF2
ABL1,SELENON
ABL1,SEMA7A
ABL1,SF3B4
ABL1,SFN
ABL1,SHANK3
ABL1,SHC1
ABL1,SHD
ABL1,SLC22A3
ABL1,SLC24A1
ABL1,SNCA
ABL1,SNX12
ABL1,SNX17
ABL1,SNX3
ABL1,SNX8
ABL1,SOCS1
ABL1,SOCS3
ABL1,SORBS1
ABL1,SORBS2
ABL1,SOS2
ABL1,SP1
ABL1,SPRR2A
ABL1,SPTAN1
ABL1,SRC
ABL1,SRPK2
ABL1,STON2
ABL1,STUB1
ABL1,SUB1
ABL1,SUV39H2
ABL1,SYNJ2
ABL1,TGOLN2
ABL1,TMEM74B
ABL1,TMPO
ABL1,TRIM39
ABL1,TSKS
ABL1,TULP4
ABL1,UBASH3B
ABL1,UBC
ABL1,UHMK1
ABL1,VAV1
ABL1,VIRMA
ABL1,VPREB1
ABL1,VPS13A
ABL1,WASF1
ABL1,WNK2
ABL1,XRCC6
ABL1,YWHAB
ABL1,YWHAE
ABL1,YWHAG
ABL1,YWHAH
ABL1,YWHAQ
ABL1,YWHAZ
ABL1,ZDHHC16
ABL2,AR
ABL2,BAG5
ABL2,C15ORF48
ABL2,CRK
ABL2,EGFR
ABL2,ERBB4
ABL2,FBXO38
ABL2,GRB2
ABL2,KIT
ABL2,NCK1
ABL2,NMES1
ABL2,PIK3R1
ABL2,RIN1
ABL2,SORBS2
ABL2,SRC
ABL2,STAT3
ABL2,TPD52L1
ABL2,VIRMA
ABL2,ZMAT1
ABLIM1,ANLN
ABLIM1,ARHGEF6
ABLIM1,BEGAIN
ABLIM1,CALCOCO2
ABLIM1,CAPZA2
ABLIM1,CARD9
ABLIM1,CASK
ABLIM1,CBY1
ABLIM1,CCDC57
ABLIM1,CDK2
ABLIM1,CENPJ
ABLIM1,CEP128
ABLIM1,CEP19
ABLIM1,CEP89
ABLIM1,CHMP4C
ABLIM1,CIT
ABLIM1,DBN1
ABLIM1,ECT2
ABLIM1,FBF1
ABLIM1,FHL2
ABLIM1,FLNA
ABLIM1,GOLGA2
ABLIM1,HSF2BP
ABLIM1,IQGAP1
ABLIM1,KIF14
ABLIM1,KIF20A
ABLIM1,KRT15
ABLIM1,LDOC1
ABLIM1,LIMA1
ABLIM1,LIN7C
ABLIM1,MYO18A
ABLIM1,MYO19
ABLIM1,MYO1C
ABLIM1,NCBP2
ABLIM1,NMT1
ABLIM1,ODF2
ABLIM1,PDLIM7
